term,estimate,se,ci_lower,ci_upper,pvalue,significant,model
Intercept,0.7789891531286351,0.1339620312259716,0.5164283966299007,1.0415499096273697,6.063404423300197e-09,True,lmm_extent
C(condition)[T.1],0.02889729100880866,0.14640071975610494,-0.25804284702389857,0.3158374290415159,0.8435263474753165,False,lmm_extent
C(procedure_code)[T.2],-0.46667774638524157,0.2310045442637578,-0.9194383334072955,-0.013917159363187548,0.043361584309745155,True,lmm_extent
C(procedure_code)[T.3],0.5706851420973906,0.15408231035329542,0.2686893631502085,0.8726809210445727,0.00021242047821150325,True,lmm_extent
C(grader)[T.Grader 2],0.01953124999999995,0.05750713479685547,-0.0931806630559269,0.1322431630559268,0.7341338495604544,False,lmm_extent
