term,estimate,se,ci_lower,ci_upper,pvalue,significant,model
Intercept,1.0930017943950527,0.2093632040800311,0.6826574547102825,1.5033461340798229,1.7834321801276227e-07,True,lmm_depth
C(condition)[T.1],-0.033509223865714845,0.23139474296786186,-0.48703458629462704,0.4200161385631973,0.8848576411388945,False,lmm_depth
C(procedure_code)[T.2],-0.6323230014957661,0.3651159450129089,-1.3479371039023742,0.08329110091084202,0.08330175976093156,False,lmm_depth
C(procedure_code)[T.3],0.6754923549941826,0.24353593793454242,0.19817068770129753,1.1528140222870675,0.005542505290430509,True,lmm_depth
C(grader)[T.Grader 2],-0.18359375000000014,0.06532304682594382,-0.3116245691392735,-0.05556293086072675,0.0049456760861221515,True,lmm_depth
