term,estimate,se,ci_lower,ci_upper,pvalue,significant,model
Intercept,1.8719909475236765,0.33469911614903053,1.215992734214188,2.527989160833165,2.2310710680711908e-08,True,lmm_composite
C(condition)[T.1],-0.004611932856903878,0.3691200486705149,-0.7280739342227849,0.7188500685089771,0.9900311719846052,False,lmm_composite
C(procedure_code)[T.2],-1.099000747881,0.5824316216737228,-2.2405457498187547,0.04254425405675488,0.05917134708527881,False,lmm_composite
C(procedure_code)[T.3],1.246177497091574,0.38848763852817125,0.4847557171373432,2.007599277045805,0.001337702207068315,True,lmm_composite
C(grader)[T.Grader 2],-0.16406249999999975,0.11311037218799817,-0.3857547557663972,0.05762975576639767,0.14692922755905585,False,lmm_composite
