procedure_code,n_obs_cond0,n_obs_cond1,n_patients_cond0,n_patients_cond1,pct_cond0,pct_cond1
1,112,128,7,8,50.0,44.44444444444444
2,16,48,1,3,7.142857142857142,16.666666666666664
3,96,112,6,7,42.857142857142854,38.88888888888889
