outcome,procedure_code,n_patients,condition_beta,condition_se,condition_p,note
depth,1,15,0.11941964285714297,0.3351067377468022,0.721568733585912,
depth,2,4,-0.458333333333333,0.1539815314807531,0.002915139770805675,
depth,3,13,-0.11160714285714246,0.40590124328357735,0.7833459531534226,
extent,1,15,0.13504464285714302,0.2069912500283462,0.5141320992791003,
extent,2,4,-0.37499999999999983,0.15026535823083953,0.012574956224989003,
extent,3,13,-2.352504920876281e-16,0.25851324056467,0.9999999999999992,
