outcome,model,condition_beta,condition_se,condition_p,aic
depth,patient_re,-0.033509223865714845,0.23139474296786186,0.8848576411388945,
depth,naive_ols,-0.033509223865715775,0.08448753783693029,0.6918165346512797,1393.116722845251
depth,patient_re_quadrant_vc,-0.03350922386571321,0.11361433920132069,0.7680409878598062,
extent,patient_re,0.02889729100880866,0.14640071975610494,0.8435263474753165,
extent,naive_ols,0.028897291008806676,0.06651215650943045,0.6641347018236792,1148.1561528266593
extent,patient_re_quadrant_vc,0.02889729100880842,0.08587613755284838,0.7364941086237311,
