outcome,grader_handling,n_obs,condition_beta,condition_se,condition_p
depth,fixed_effect,512,-0.033509223865714845,0.23139474296786186,0.8848576411388945
depth,averaged,256,-0.03350922386571265,0.2314051756686118,0.8848627960479539
extent,fixed_effect,512,0.02889729100880866,0.14640071975610494,0.8435263474753165
extent,averaged,256,0.028897291008808685,0.14639777145317215,0.8435232369680532
