term,estimate,se,z,pvalue
0|1,-0.739481879935506,0.358294450250489,-2.06389431770021,0.0390277376316589
1|2,2.16017304152363,0.3765562886324,5.73665374005326,9.65653947893884e-09
2|3,4.5878991346563,0.449931590014661,10.19688156261,2.04740990398378e-24
3|4,6.54762016064729,0.698684958666696,9.37134838732202,7.16117404838595e-21
condition1,0.0064318592393142,0.384611579490417,0.0167229994682844,0.986657598803294
procedure_code2,-1.60899504345196,0.623878569316939,-2.57901957621912,0.0099081171553811
procedure_code3,1.64083861472756,0.412378466872767,3.97896288613395,6.92165437874692e-05
graderGrader 2,0.0395466828465718,0.175952168474222,0.224758144156465,0.822167429096226
