term,estimate,se,z,pvalue
0|1,-1.34678496012048,0.475173061090598,-2.83430411023175,0.0045925604590033
1|2,1.05445372837489,0.475856232049071,2.21590820369072,0.0266977895862949
2|3,2.85860501976268,0.496851574739797,5.75343858225617,8.744622741205252e-09
3|4,5.61464416081969,0.613071059361912,9.15822737850886,5.2756760084591205e-20
condition1,-0.196496211836702,0.514221037606576,-0.382124023457474,0.702369373364783
procedure_code2,-1.92738028641984,0.831642973486935,-2.31755735076877,0.0204733903624443
procedure_code3,1.59282405296405,0.544606822549972,2.92472291387407,0.0034476305505129
graderGrader 2,-0.512454689785945,0.173370420607661,-2.95583691837279,0.0031182191898066
