outcome,procedure_code,n_patients,condition_beta,condition_se,condition_p,note
depth,1,15,0.11941964285714435,0.3351067377468023,0.7215687335859091,
depth,2,4,-0.45833333333333387,0.15398153148075303,0.002915139770805604,
depth,3,13,-0.11160714285714347,0.40590124328357735,0.7833459531534207,
extent,1,15,0.13504464285714246,0.206991250028346,0.5141320992791016,
extent,2,4,-0.3749999999999998,0.15026535823083953,0.012574956224989017,
extent,3,13,-4.76859341629265e-16,0.25851324056467007,0.9999999999999986,
