outcome,grader_handling,n_obs,condition_beta,condition_se,condition_p
depth,fixed_effect,512,-0.03350922386571262,0.23139474296786136,0.8848576411389019
depth,averaged,256,-0.033509223865713866,0.23140517566861177,0.8848627960479498
extent,fixed_effect,512,0.028897291008809195,0.1464007197561049,0.8435263474753136
extent,averaged,256,0.028897291008808407,0.14639777145317234,0.8435232369680549
