outcome,model,condition_beta,condition_se,condition_p,aic
depth,patient_re,-0.03350922386571262,0.23139474296786136,0.8848576411389019,
depth,naive_ols,-0.0335092238657155,0.08448753783693011,0.6918165346512812,1393.1167228452507
depth,patient_re_quadrant_vc,-0.03350922386571404,0.11361433920132061,0.7680409878598005,
extent,patient_re,0.028897291008809195,0.1464007197561049,0.8435263474753136,
extent,naive_ols,0.028897291008807155,0.06651215650943028,0.6641347018236732,1148.1561528266593
extent,patient_re_quadrant_vc,0.028897291008808352,0.08587613755284838,0.7364941086237318,
