patient_dropped,condition_beta,beta_change,pct_change,full_beta
1,-0.07216351501668694,-0.03865429115097242,-115.35418219734466,-0.03350922386571452
2,-0.09910913140311726,-0.06559990753740275,-195.7667172486269,-0.03350922386571452
3,-0.01895886889460274,0.01455035497111178,43.421939670763905,-0.03350922386571452
4,-0.057349665924274304,-0.023840442058559785,-71.14590941914506,-0.03350922386571452
5,-0.04251126126126174,-0.009002037395547224,-26.864356607070803,-0.03350922386571452
6,-0.03566838046272415,-0.0021591565970096316,-6.443469432960535,-0.03350922386571452
7,0.01364142538975465,0.04715064925546917,140.70946389096196,-0.03350922386571452
8,-0.0528828327771587,-0.019373608911444185,-57.81574944583122,-0.03350922386571452
9,0.017817371937638746,0.05132659580335326,153.1715446739095,-0.03350922386571452
10,-0.10746102449888656,-0.07395180063317204,-220.69087881452535,-0.03350922386571452
11,0.012242268041237016,0.04575149190695153,136.5340244533771,-0.03350922386571452
12,-0.03360215053763458,-9.292667192006138e-05,-0.27731669433006695,-0.03350922386571452
13,-0.01976614699331762,0.013743076872396898,41.01281762738271,-0.03350922386571452
14,0.043520578420467644,0.07702980228618217,229.87641431169166,-0.03350922386571452
15,-0.038422321097515394,-0.004913097231800875,-14.661924882204708,-0.03350922386571452
16,0.026463963963964394,0.05997318782967891,178.97516239115706,-0.03350922386571452
17,-0.09832904884318794,-0.06481982497747342,-193.43875357195256,-0.03350922386571452
18,0.034521158129175514,0.06803038199489003,203.019867805701,-0.03350922386571452
20,-0.029779905913979374,0.003729317951735145,11.129228079647808,-0.03350922386571452
21,-0.07216351501668694,-0.03865429115097242,-115.35418219734466,-0.03350922386571452
22,-0.014781491002571515,0.018727732863143005,55.88829194669762,-0.03350922386571452
23,-0.03251008064516042,0.0009991432205540968,2.981696098238747,-0.03350922386571452
24,-0.06714527027027087,-0.03363604640455635,-100.37847053500869,-0.03350922386571452
26,-0.13174807197943542,-0.0982388481137209,-293.1695717794153,-0.03350922386571452
27,0.01661036036035846,0.050119584226072975,149.56951681997506,-0.03350922386571452
28,-0.010604113110538622,0.022905110755175897,68.35464422263631,-0.03350922386571452
29,0.0019280205655511945,0.03543724443126571,105.75370105042593,-0.03350922386571452
30,-0.06714527027027123,-0.03363604640455671,-100.37847053500978,-0.03350922386571452
31,-0.05288283277715863,-0.019373608911444108,-57.815749445830996,-0.03350922386571452
32,0.0019280205655526784,0.035437244431267195,105.75370105043035,-0.03350922386571452
33,-0.04743806306306227,-0.013928839197347755,-41.567179392654516,-0.03350922386571452
34,-0.024319556451611938,0.00918966741410258,27.424292042481863,-0.03350922386571452
