patient_dropped,condition_beta,beta_change,pct_change,full_beta
1,0.006627734519837009,-0.022269556488971595,-77.06451266377628,0.028897291008808605
2,0.017260579064587826,-0.011636711944220779,-40.2692139573693,0.028897291008808605
3,0.04177377892030881,0.012876487911500208,44.55949835427528,0.028897291008808605
4,-0.0036191536748330414,-0.03251644468364165,-112.52419707345521,0.028897291008808605
5,0.03012387387387319,0.0012265828650645863,4.244629244626058,0.028897291008808605
6,0.02088688946015462,-0.008010401548653984,-27.72025082286162,0.028897291008808605
7,0.0548440979955445,0.025946806986735897,89.78975565158225,0.028897291008808605
8,0.016268075639599963,-0.012629215369208642,-43.703803811087155,0.028897291008808605
9,0.07154788418708163,0.04265059317827303,147.5937421444525,0.028897291008808605
10,-0.028674832962137527,-0.05757212397094613,-199.23017681275635,0.028897291008808605
11,0.07239506627393341,0.043497775265124806,150.52544285852127,0.028897291008808605
12,0.030728587319243727,0.0018312963104351217,6.337259467944235,0.028897291008808605
13,0.017260579064588576,-0.01163671194422003,-40.2692139573667,0.028897291008808605
14,0.04518909899888791,0.0162918079900793,56.37832274697707,0.028897291008808605
15,0.035548757879125495,0.00665146687031689,23.017613894289813,0.028897291008808605
16,0.0547578828828826,0.025860591874073996,89.49140549607591,0.028897291008808605
17,-0.01670951156812147,-0.045606802576930075,-157.82379934170302,0.028897291008808605
18,0.07989977728284994,0.05100248627404134,176.49573539088672,0.028897291008808605
20,0.033308131720431955,0.00441084071162335,15.263855391423427,0.028897291008808605
21,0.006627734519836116,-0.02226955648897249,-77.0645126637794,0.028897291008808605
22,0.02924164524421669,0.0003443542354080835,1.1916488479944913,0.028897291008808605
23,0.030577956989246504,0.0016806659804378989,5.815998392117761,0.028897291008808605
24,0.01041666666666842,-0.018480624342140185,-63.9527917565243,0.028897291008808605
26,-0.033419023136247915,-0.06231631414505652,-215.6475986834232,0.028897291008808605
27,0.0399774774774757,0.011080186468667097,38.34333974520167,0.028897291008808605
28,0.041773778920308674,0.012876487911500069,44.5594983542748,0.028897291008808605
29,0.058483290488432975,0.02958599947962437,102.3832976959876,0.028897291008808605
30,0.020270270270269192,-0.008627020738539413,-29.8540812559547,0.028897291008808605
31,0.03072858731924283,0.001831296310434223,6.337259467941126,0.028897291008808605
32,0.06266066838046219,0.03376337737165359,116.83924753140937,0.028897291008808605
33,0.025197072072072578,-0.003700218936736027,-12.804726005659525,0.028897291008808605
34,0.036038306451613364,0.007141015442804759,24.711712390715107,0.028897291008808605
