term,estimate,se,ci_lower,ci_upper,pvalue,significant,or,or_ci_lower,or_ci_upper,model
Intercept,1.0472578199630924,0.23846649799614777,0.5798720723712498,1.514643567554935,1.1250144563847506e-05,True,2.8498256585278843,1.7858099617028342,4.54779985450397,gee_depth_any
C(condition)[T.1],-0.35267601128355675,0.32555611747424595,-0.9907542764797698,0.2854022539126563,0.2786738280021831,False,0.702804857338612,0.3712965251381284,1.330297037697821,gee_depth_any
C(procedure_code)[T.2],-1.3765133523402926,0.3665870661735153,-2.095010799238584,-0.6580159054420012,0.00017338128188016446,True,0.2524572497958023,0.12306891459622034,0.517877834411465,gee_depth_any
C(procedure_code)[T.3],1.5882812819194712,0.4385175230213921,0.7288027302078287,2.4477598336311135,0.0002924093630084201,True,4.895328005050622,2.072597663020148,11.562415950094579,gee_depth_any
C(grader)[T.Grader 2],-0.5500151279329537,0.15529483084230933,-0.85438740336912,-0.2456428524967874,0.00039748529081658093,True,0.576941082388456,0.42554379794759495,0.7822015363705395,gee_depth_any
