term,estimate,se,ci_lower,ci_upper,pvalue,significant,or,or_ci_lower,or_ci_upper,model
Intercept,-0.9164004386889448,0.4291208180098018,-1.7574617870045233,-0.07533909037336639,0.03271773131214389,True,0.3999561196811131,0.17248210500308914,0.9274289507743886,gee_depth_significant
C(condition)[T.1],-0.06741784927546779,0.4828493322267218,-1.0137851503990576,0.8789494518481221,0.8889562685330632,False,0.9348045123297207,0.3628429618156246,2.408368270116952,gee_depth_significant
C(procedure_code)[T.2],-1.8735461137372968,0.9996965316242272,-3.8329153111903893,0.08582308371579561,0.06091459719537307,False,0.15357808968285327,0.021646417510316634,1.0896135408731433,gee_depth_significant
C(procedure_code)[T.3],1.033445285109011,0.5038191880007142,0.04597782190739652,2.0209127483106255,0.04024527777574143,True,2.810732948528012,1.0470511891011975,7.545208668090645,gee_depth_significant
C(grader)[T.Grader 2],-0.1982649359053117,0.12977987777289743,-0.45262882225820095,0.05609895044757757,0.1265866255009259,False,0.8201525364968612,0.6359541418454637,1.0577023386785154,gee_depth_significant
