term,estimate,se,ci_lower,ci_upper,pvalue,significant,or,or_ci_lower,or_ci_upper,model
Intercept,-2.2525171249365465,0.3456331902295141,-2.9299457296480753,-1.5750885202250176,7.169199800737292e-11,True,0.10513425516586605,0.05339993609988476,0.20698922913702306,gee_extent_significant
C(condition)[T.1],0.2282749548964008,0.39796125918788255,-0.5517147803540586,1.0082646901468602,0.5662310680122624,False,1.2564307397273686,0.5759613159480048,2.740840678047158,gee_extent_significant
C(procedure_code)[T.2],-1.920236437250476,1.0277604414597767,-3.9346098872466255,0.0941370127456731,0.061710561589004134,False,0.14657230288085368,0.0195533258415595,1.098710272916071,gee_extent_significant
C(procedure_code)[T.3],1.3048440065747788,0.4324320123403218,0.45729283662556786,2.15239517652399,0.002549071396820799,True,3.6871138833178243,1.5797914373135,8.605445293255658,gee_extent_significant
C(grader)[T.Grader 2],0.7221645929606874,0.23300040673431216,0.26549218737825164,1.178836998543123,0.0019390422608143814,True,2.058885038769522,1.3040726659560182,3.250591560985868,gee_extent_significant
