term,estimate,se,ci_lower,ci_upper,pvalue,significant,or,or_ci_lower,or_ci_upper,model
Intercept,1.0336249011795369,0.23781231706911868,0.5675213246440443,1.4997284777150295,1.3839687207510971e-05,True,2.8112378466780776,1.763889518952773,4.480472357071018,gee_extent_any
C(condition)[T.1],-0.37305185069776664,0.32653357683729034,-1.0130459010418982,0.26694219964636484,0.2532624812360651,False,0.6886295259968257,0.36311129241128676,1.3059649589126154,gee_extent_any
C(procedure_code)[T.2],-1.2994278531278365,0.32734853459164703,-1.9410191913194286,-0.6578365149362443,7.20071318078248e-05,True,0.27268776586239024,0.14355756257047897,0.5179707451114999,gee_extent_any
C(procedure_code)[T.3],1.6439640023146977,0.45868468228407283,0.7449585447777176,2.542969459851678,0.00033826442995195556,True,5.175645172083657,2.1063541137927873,12.71737870280442,gee_extent_any
C(grader)[T.Grader 2],-0.5060532125293343,0.15134104237492638,-0.8026762049669403,-0.20943022009172846,0.0008264118941430594,True,0.6028702903972787,0.4481280753406529,0.8110462321902367,gee_extent_any
