Type,Description,ICC,F,df1,df2,pval,CI95
ICC1,Single raters absolute,0.46851537902639856,2.7630439735702894,7,8,0.08893657979827041,[-0.24  0.86]
ICC2,Single random raters,0.5149740302795889,4.320270751692198,7,7,0.03622357476176885,[-0.1   0.87]
ICC3,Single fixed raters,0.6240792821749028,4.320270751692198,7,7,0.03622357476176885,[-0.07  0.91]
ICC1k,Average raters absolute,0.6380803166488002,2.7630439735702894,7,8,0.08893657979827041,[-0.64  0.93]
ICC2k,Average random raters,0.679845357064702,4.320270751692198,7,7,0.03622357476176885,[-0.22  0.93]
ICC3k,Average fixed raters,0.7685330254803331,4.320270751692198,7,7,0.03622357476176885,[-0.16  0.95]
