Type,Description,ICC,F,df1,df2,pval,CI95
ICC1,Single raters absolute,0.8887959866220736,16.98496240601504,7,8,0.0003257151296144328,[0.58 0.98]
ICC2,Single random raters,0.8881412952060556,15.367346938775512,7,7,0.000929893173566004,[0.55 0.98]
ICC3,Single fixed raters,0.8778054862842893,15.367346938775512,7,7,0.000929893173566004,[0.51 0.97]
ICC1k,Average raters absolute,0.9411243913235945,16.98496240601504,7,8,0.0003257151296144328,[0.73 0.99]
ICC2k,Average random raters,0.9407572383073497,15.367346938775512,7,7,0.000929893173566004,[0.71 0.99]
ICC3k,Average fixed raters,0.9349269588313414,15.367346938775512,7,7,0.000929893173566004,[0.67 0.99]
