outcome,procedure_code,condition,n,mean,sd,median,q1,q3,min,max
depth,1,0,112,0.9196428571428571,0.9018338959056573,1.0,0.0,1.0,0,3
depth,1,1,128,1.0390625,0.9753040612091307,1.0,0.0,2.0,0,3
depth,2,0,16,0.6875,0.7932002689527194,0.5,0.0,1.0,0,2
depth,2,1,48,0.22916666666666666,0.42474439539379405,0.0,0.0,0.0,0,1
depth,3,0,96,1.71875,0.9026641853862084,2.0,1.0,2.0,0,4
depth,3,1,112,1.6071428571428572,1.1259201870897722,1.0,1.0,2.0,0,4
