outcome,grader,n,mean,sd,median,q1,q3,min,max
depth,Grader 1,256,1.26953125,1.0448798481446675,1.0,0.0,2.0,0,4
depth,Grader 2,256,1.0859375,1.0291999081715817,1.0,0.0,2.0,0,4
