term,estimate,se,ci_lower,ci_upper,pvalue,significant,model
Intercept,0.7789891531286354,0.08687105019845034,0.6087250234405016,0.9492532828167691,3.04177022723442e-19,True,gee_ord_extent
C(condition)[T.1],0.028897291008808383,0.13309203343035084,-0.2319583011438801,0.2897528831614969,0.8281127861596642,False,gee_ord_extent
C(procedure_code)[T.2],-0.4666777463852416,0.14835764681594504,-0.7574533909756074,-0.17590210179487592,0.001657315018342882,True,gee_ord_extent
C(procedure_code)[T.3],0.570685142097391,0.15320503667405336,0.27040878796610823,0.8709614962286737,0.00019533351488715145,True,gee_ord_extent
C(grader)[T.Grader 2],0.01953124999999998,0.058752227091680764,-0.09562099911121277,0.13468349911121272,0.7395614126653203,False,gee_ord_extent
