term,estimate,se,ci_lower,ci_upper,pvalue,significant,model
Intercept,1.0930017943950472,0.17720433396937013,0.745687681910674,1.4403159068794205,6.914566667174169e-10,True,gee_ord_depth
C(condition)[T.1],-0.03350922386571459,0.21432671613782117,-0.4535818684205837,0.3865634206891545,0.8757599349112599,False,gee_ord_depth
C(procedure_code)[T.2],-0.6323230014957609,0.2020562564694657,-1.028345987026902,-0.23630001596461986,0.0017513962896534357,True,gee_ord_depth
C(procedure_code)[T.3],0.6754923549941825,0.24356833163081867,0.1981071972232698,1.1528775127650952,0.005548792709380332,True,gee_ord_depth
C(grader)[T.Grader 2],-0.18359375000000006,0.04349267762039718,-0.2688378317271898,-0.09834966827281036,2.4294425019618334e-05,True,gee_ord_depth
