outcome,n_cond0,n_cond1,mean_cond0,mean_cond1,sd_cond0,sd_cond1,mean_diff,pooled_sd,cohens_d,cohens_d_interpretation,hedges_g,glass_delta,cliffs_delta,cliffs_interpretation
depth,224,288,1.2455357142857142,1.125,0.9830298539647891,1.0811981997017603,-0.12053571428571419,1.0394149332010507,-0.11596496301482263,negligible,-0.11579434266708136,-0.12261653478738767,-0.0874875992063492,negligible
extent,224,288,1.0,0.9618055555555556,0.7274255852407037,0.8845949507362016,-0.03819444444444442,0.8195884441992357,-0.046601980194781324,negligible,-0.046533414260213235,-0.05250632534708819,-0.05361793154761905,negligible
composite,224,288,2.2455357142857144,2.0868055555555554,1.5952501465628846,1.88412574677367,-0.15873015873015905,1.7636445091229702,-0.09000122071601198,negligible,-0.08986880106807278,-0.0995017358701756,-0.07717943948412699,negligible
