term,estimate,se,ci_lower,ci_upper,pvalue,significant,or,or_ci_lower,or_ci_upper,model
Intercept,-2.252517124936546,0.34563319022951394,-2.929945729648075,-1.5750885202250173,7.16919980073719e-11,True,0.10513425516586611,0.05339993609988479,0.20698922913702308,gee_extent_significant
C(condition)[T.1],0.22827495489640068,0.39796125918788217,-0.551714780354058,1.0082646901468593,0.5662310680122622,False,1.2564307397273686,0.5759613159480053,2.7408406780471553,gee_extent_significant
C(procedure_code)[T.2],-1.9202364372504763,1.0277604414597759,-3.9346098872466237,0.0941370127456711,0.06171056158900392,False,0.14657230288085363,0.019553325841559534,1.098710272916069,gee_extent_significant
C(procedure_code)[T.3],1.3048440065747786,0.43243201234032147,0.4572928366255683,2.152395176523989,0.0025490713968207837,True,3.6871138833178234,1.579791437313501,8.605445293255649,gee_extent_significant
C(grader)[T.Grader 2],0.7221645929606878,0.233000406734312,0.2654921873782524,1.1788369985431233,0.0019390422608143573,True,2.058885038769523,1.3040726659560191,3.250591560985869,gee_extent_significant
