term,estimate,se,ci_lower,ci_upper,pvalue,significant,or,or_ci_lower,or_ci_upper,model
Intercept,-0.9164004386889439,0.42912081800980184,-1.7574617870045226,-0.07533909037336539,0.03271773131214409,True,0.39995611968111344,0.17248210500308925,0.9274289507743895,gee_depth_significant
C(condition)[T.1],-0.06741784927546891,0.48284933222672183,-1.013785150399059,0.8789494518481211,0.8889562685330613,False,0.9348045123297197,0.3628429618156241,2.40836827011695,gee_depth_significant
C(procedure_code)[T.2],-1.873546113737297,0.9996965316242264,-3.832915311190388,0.08582308371579406,0.06091459719537287,False,0.15357808968285325,0.021646417510316665,1.0896135408731418,gee_depth_significant
C(procedure_code)[T.3],1.0334452851090106,0.5038191880007143,0.045977821907395855,2.020912748310625,0.04024527777574156,True,2.8107329485280106,1.0470511891011967,7.545208668090641,gee_depth_significant
C(grader)[T.Grader 2],-0.19826493590531144,0.12977987777289743,-0.45262882225820067,0.05609895044757782,0.1265866255009264,False,0.8201525364968614,0.635954141845464,1.0577023386785156,gee_depth_significant
