term,estimate,se,ci_lower,ci_upper,pvalue,significant,or,or_ci_lower,or_ci_upper,model
Intercept,1.0472578199630924,0.2384664979961474,0.5798720723712505,1.5146435675549343,1.1250144563847156e-05,True,2.8498256585278843,1.7858099617028353,4.5477998545039675,gee_depth_any
C(condition)[T.1],-0.35267601128355663,0.32555611747424595,-0.9907542764797697,0.2854022539126564,0.2786738280021833,False,0.7028048573386121,0.37129652513812844,1.3302970376978211,gee_depth_any
C(procedure_code)[T.2],-1.3765133523402926,0.36658706617351533,-2.095010799238584,-0.6580159054420011,0.00017338128188016533,True,0.2524572497958023,0.12306891459622034,0.5178778344114651,gee_depth_any
C(procedure_code)[T.3],1.5882812819194705,0.4385175230213922,0.7288027302078278,2.447759833631113,0.0002924093630084221,True,4.89532800505062,2.0725976630201464,11.562415950094573,gee_depth_any
C(grader)[T.Grader 2],-0.5500151279329538,0.15529483084230924,-0.8543874033691199,-0.2456428524967877,0.00039748529081657703,True,0.576941082388456,0.425543797947595,0.7822015363705392,gee_depth_any
